Rooms;Type;Size;Price;Address
3;lejlighed;93 m²;13.995  kr.;Vanløse, Indertoften
2;lejlighed;76 m²;14.495  kr.;København SV, Teglholmsgade
3;lejlighed;89 m²;16.495  kr.;København SV, Teglholmsgade
4;lejlighed;113 m²;13.950  kr.;Brøndby, Voltvej
4;lejlighed;114 m²;16.175  kr.;København S, Oliebladsgade
3;lejlighed;107 m²;16.950  kr.;København S, Artillerivej
3;lejlighed;74 m²;11.563  kr.;Vanløse, Ålekistevej
1;lejlighed;35 m²;8.800  kr.;København NV, Lærkevej
1;lejlighed;35 m²;8.900  kr.;København NV, Lærkevej
2;lejlighed;62 m²;7.748  kr.;Brønshøj, Tølløsevej
2;lejlighed;87 m²;12.450  kr.;Hvidovre, Gammel Køge Landevej
2;lejlighed;72 m²;12.700  kr.;København S, C.F. Møllers Allé
4;lejlighed;110 m²;13.000  kr.;Taastrup, Frederiksholmsvej
4;lejlighed;115 m²;14.600  kr.;København NV, Tomsgårdsvej
1;værelse;14 m²;4.600  kr.;København Ø, Landskronagade
2;lejlighed;56 m²;12.900  kr.;København S, Dea Trier Mørchs Vej
5;rækkehus;123 m²;19.500  kr.;Valby, Belle de Boskoopvej
1;værelse;10 m²;7.800  kr.;København S, Ørestads Boulevard
2;lejlighed;79 m²;14.300  kr.;København S, Weidekampsgade
3;lejlighed;85 m²;12.600  kr.;Glostrup, Grankoglen
4;lejlighed;112 m²;15.000  kr.;Frederiksberg, Falkoner Alle
1;lejlighed;28 m²;6.150  kr.;København K, Luftmarinegade
2;lejlighed;63 m²;9.450  kr.;Kongens Lyngby, Agnetevej
3;lejlighed;90 m²;17.500  kr.;København S, Njalsgade
3;rækkehus;79 m²;14.500  kr.;København S, Ejler Billes Allé
2;lejlighed;48 m²;10.000  kr.;Kongens Lyngby, Eremitageparken
3;lejlighed;84 m²;15.750  kr.;Valby, Valby Maskinfabriksvej
3;lejlighed;74 m²;15.500  kr.;Valby, Montagehalsvej
2;lejlighed;56 m²;11.000  kr.;København N, Baldersgade
